PAGE URL,h1_element,Bild
https://printexpress.pl/en/product/childrens-t-shirt-valueweight-t-fruit-of-the-loom/,Children's T-shirt Valueweight T Fruit of the Loom - 61-033-0,https://printexpress.pl/wp-content/uploads/2024/06/F140K_Kelly-Green-gowne.jpg
https://printexpress.pl/en/product/mens-t-shirt-iconic-195-t-fruit-of-the-loom/,Men's T-shirt Iconic 195 T Fruit of the Loom - 61-422-0,https://printexpress.pl/wp-content/uploads/2024/06/F185_Red-glowne.jpg
https://printexpress.pl/en/product/womens-t-shirt-iconic-195-t-fruit-of-the-loom/,Women's T-shirt Iconic 195 T Fruit of the Loom - 61-424-0,https://printexpress.pl/wp-content/uploads/2024/06/F186_Red-glowne.jpg
https://printexpress.pl/en/product/childrens-t-shirt-iconic-195-t-fruit-of-the-loom/,Children's T-shirt Iconic 195 T Fruit of the Loom - 61-363-0,https://printexpress.pl/wp-content/uploads/2024/06/F185K_Red-glowne-1.jpg
https://printexpress.pl/en/product/womens-t-shirt-valueweight-t-fruit-of-the-loom/,Women's T-shirt Valueweight T Fruit of the Loom - 61-372-0,https://printexpress.pl/wp-content/uploads/2024/06/F288N_Kelly-Green-glowne.jpg
https://printexpress.pl/en/product/polyester-backpack-urban/,Polyester backpack Urban - 70600,https://printexpress.pl/wp-content/uploads/2024/07/LB70600_Flash-Pink-glowne.jpg
https://printexpress.pl/en/product/mens-t-shirt-valueweight-t-fruit-of-the-loom/,Men's T-shirt Valueweight T Fruit of the Loom - 61-036-0,https://printexpress.pl/wp-content/uploads/2024/06/F140_Kelly-Green-glowne.jpg
https://printexpress.pl/en/product/smart-womens-softshell/,Smart women's softshell Russell - Z040F,https://printexpress.pl/wp-content/uploads/2024/04/Z040F_Classic-Red-glowne.jpg
https://printexpress.pl/en/product/smart-mens-softshell/,Smart men's softshell Russell - Z040M,https://printexpress.pl/wp-content/uploads/2024/04/Z040M_Black-glowne.jpg
https://printexpress.pl/en/product/unbuttoned-hoodless-sweatshirt-for-men-adventure-malfini/,"Unbuttoned, hoodless sweatshirt for men, Adventure Malfini - 407",https://printexpress.pl/wp-content/uploads/2024/06/407_02_a_xl_preview_maxWidth_540_maxHeight_540_ppi_100_quality_100-glowne.jpg
https://printexpress.pl/en/product/unbuttoned-hoodless-sweatshirt-womens-viva-malfini/,"Unbuttoned, hoodless sweatshirt, women's Viva Malfini - 409",https://printexpress.pl/wp-content/uploads/2024/06/409_02_A_preview_maxWidth_540_maxHeight_540_ppi_100_quality_100-glowne.jpg
https://printexpress.pl/en/product/unbuttoned-hooded-sweatshirt-womens-trendy-zipper-malfini/,"Unbuttoned, hooded sweatshirt, women's Trendy Zipper Malfini - 411",https://printexpress.pl/wp-content/uploads/2024/06/411_44_A_preview_maxWidth_540_maxHeight_540_ppi_100_quality_100-glowne.jpg
https://printexpress.pl/en/product/unbuttoned-hooded-sweatshirt-for-men-trendy-zipper/,Unbuttoned hooded sweatshirt for men Trendy Zipper Malfini - 410,https://printexpress.pl/wp-content/uploads/2024/06/410_44_A_preview_maxWidth_540_maxHeight_540_ppi_100_quality_100-glowna.jpg
